DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 333_feat.wav	 2.874	 0.000	 0	 16000	0.0000
 331_feat.wav	 2.948	 0.000	 0	 16000	0.0000
 332_feat.wav	 3.055	 0.000	 0	 16000	0.0000
 333_feat.wav	 2.874	 0.000	 0	 16000	0.0000
 sree_01_pred_1.wav	 1.774	 0.000	 0	 16000	0.0000
 sree_01_pred_1.wav	 1.784	 0.000	 0	 16000	0.0000
 sree_01_feat_1.wav	 2.319	 0.000	 0	 16000	0.0000
 sree_01_pred_10.wav	 1.752	 0.000	 0	 16000	0.0000
 sree_01_feat_10.wav	 2.340	 0.000	 0	 16000	0.0000
 sree_01_pred_11.wav	 1.790	 0.000	 0	 16000	0.0000
 sree_01_feat_11.wav	 2.333	 0.000	 0	 16000	0.0000
 sree_01_pred_12.wav	 1.709	 0.000	 0	 16000	0.0000
 sree_01_feat_12.wav	 2.466	 0.000	 0	 16000	0.0000
 sree_01_pred_13.wav	 1.701	 0.000	 0	 16000	0.0000
 sree_01_feat_13.wav	 2.271	 0.000	 0	 16000	0.0000
 sree_01_pred_14.wav	 1.624	 0.000	 0	 16000	0.0000
 sree_01_feat_14.wav	 2.181	 0.000	 0	 16000	0.0000
 sree_01_pred_15.wav	 1.760	 0.000	 0	 16000	0.0000
 sree_01_feat_15.wav	 2.471	 0.000	 0	 16000	0.0000
 sree_01_pred_16.wav	 1.692	 0.000	 0	 16000	0.0000
 sree_01_feat_16.wav	 2.361	 0.000	 0	 16000	0.0000
 sree_01_pred_17.wav	 1.824	 0.000	 0	 16000	0.0000
 sree_01_feat_17.wav	 2.458	 0.000	 0	 16000	0.0000
 sree_01_pred_18.wav	 1.757	 0.000	 0	 16000	0.0000
 sree_01_feat_18.wav	 2.569	 0.000	 0	 16000	0.0000
 tobc_01_pred_1.wav	 1.357	 0.000	 0	 16000	0.0000
 tobc_01_feat_1.wav	 1.884	 0.000	 0	 16000	0.0000
 tobc_01_pred_10.wav	 1.722	 0.000	 0	 16000	0.0000
 tobc_01_feat_10.wav	 2.437	 0.000	 0	 16000	0.0000
 tobc_01_pred_11.wav	 1.310	 0.000	 0	 16000	0.0000
 tobc_01_feat_11.wav	 1.967	 0.000	 0	 16000	0.0000
 tobc_01_pred_12.wav	 1.269	 0.000	 0	 16000	0.0000
 tobc_01_feat_12.wav	 1.944	 0.000	 0	 16000	0.0000
 tobc_01_pred_13.wav	 1.376	 0.000	 0	 16000	0.0000
 tobc_01_feat_13.wav	 1.944	 0.000	 0	 16000	0.0000
 tobc_01_pred_14.wav	 1.386	 0.000	 0	 16000	0.0000
 tobc_01_feat_14.wav	 2.116	 0.000	 0	 16000	0.0000
 tobc_01_pred_15.wav	 1.604	 0.000	 0	 16000	0.0000
 tobc_01_feat_15.wav	 2.123	 0.000	 0	 16000	0.0000
 tobc_01_pred_16.wav	 1.323	 0.000	 0	 16000	0.0000
 tobc_01_feat_16.wav	 2.027	 0.000	 0	 16000	0.0000
 tobc_01_pred_17.wav	 1.468	 0.000	 0	 16000	0.0000
 tobc_01_feat_17.wav	 2.044	 0.000	 0	 16000	0.0000
 tobc_01_pred_18.wav	 1.378	 0.000	 0	 16000	0.0000
 tobc_01_feat_18.wav	 2.016	 0.000	 0	 16000	0.0000
 sree_01_pred_1.wav	 1.804	 0.000	 0	 16000	0.0000
 sree_01_feat_1.wav	 2.329	 0.000	 0	 16000	0.0000
 sree_01_pred_10.wav	 1.761	 0.000	 0	 16000	0.0000
 sree_01_feat_10.wav	 2.354	 0.000	 0	 16000	0.0000
 sree_01_pred_11.wav	 1.801	 0.000	 0	 16000	0.0000
 sree_01_feat_11.wav	 2.342	 0.000	 0	 16000	0.0000
 sree_01_pred_12.wav	 1.719	 0.000	 0	 16000	0.0000
 sree_01_feat_12.wav	 2.481	 0.000	 0	 16000	0.0000
 sree_01_pred_13.wav	 1.711	 0.000	 0	 16000	0.0000
 sree_01_feat_13.wav	 2.283	 0.000	 0	 16000	0.0000
 sree_01_pred_14.wav	 1.636	 0.000	 0	 16000	0.0000
 sree_01_feat_14.wav	 2.189	 0.000	 0	 16000	0.0000
 sree_01_pred_15.wav	 1.772	 0.000	 0	 16000	0.0000
 sree_01_feat_15.wav	 2.481	 0.000	 0	 16000	0.0000
 sree_01_pred_16.wav	 1.705	 0.000	 0	 16000	0.0000
 sree_01_feat_16.wav	 2.377	 0.000	 0	 16000	0.0000
 sree_01_pred_17.wav	 1.833	 0.000	 0	 16000	0.0000
 sree_01_feat_17.wav	 2.472	 0.000	 0	 16000	0.0000
 sree_01_pred_18.wav	 1.766	 0.000	 0	 16000	0.0000
 sree_01_feat_18.wav	 2.576	 0.000	 0	 16000	0.0000
 sree_01_pred_1.wav	 2.418	 0.000	 0	 16000	0.0000
 sree_01_feat_1.wav	 2.339	 0.000	 0	 16000	0.0000
 sree_01_pred_10.wav	 2.329	 0.000	 0	 16000	0.0000
 sree_01_feat_10.wav	 2.367	 0.000	 0	 16000	0.0000
 sree_01_pred_11.wav	 2.368	 0.000	 0	 16000	0.0000
 sree_01_feat_11.wav	 2.349	 0.000	 0	 16000	0.0000
 sree_01_pred_12.wav	 2.472	 0.000	 0	 16000	0.0000
 sree_01_feat_12.wav	 2.494	 0.000	 0	 16000	0.0000
 sree_01_pred_13.wav	 2.263	 0.000	 0	 16000	0.0000
 sree_01_feat_13.wav	 2.292	 0.000	 0	 16000	0.0000
 sree_01_pred_14.wav	 2.413	 0.000	 0	 16000	0.0000
 sree_01_feat_14.wav	 2.193	 0.000	 0	 16000	0.0000
