REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/335_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/335_feat.wav	 SQValue=2.943	 2.943	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/334_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/334_feat.wav	 SQValue=2.649	 2.649	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/335_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/335_feat.wav	 SQValue=2.943	 2.943	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/334_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/334_feat.wav	 SQValue=2.649	 2.649	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/335_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/335_feat.wav	 SQValue=2.943	 2.943	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/334_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/334_feat.wav	 SQValue=2.649	 2.649	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/335_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/335_feat.wav	 SQValue=2.943	 2.943	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/334_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/334_feat.wav	 SQValue=2.649	 2.649	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/335_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/335_feat.wav	 SQValue=2.943	 2.943	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/334_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/334_feat.wav	 SQValue=2.649	 2.649	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/335_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/335_feat.wav	 SQValue=2.943	 2.943	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/336_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/336_feat.wav	 SQValue=2.739	 2.739	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/337_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/337_feat.wav	 SQValue=2.529	 2.529	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/338_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/338_feat.wav	 SQValue=2.969	 2.969	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/339_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/339_feat.wav	 SQValue=2.801	 2.801	 0.000	 0	 16000	0.0000
